timestamp,x_cam,y_cam,theta_cam,vL,vR
1764515502.446144,414.0,269.5,-1.3415644,0.0,0.0
1764515502.4794781,414.0,269.5,-1.3415644,0.0,0.0
1764515502.5128121,414.0,269.5,-1.3415644,0.0,0.0
1764515502.5461462,414.0,269.5,-1.3415644,0.0,0.0
1764515502.5794802,414.0,269.5,-1.3415644,0.0,0.0
1764515502.6128142,414.0,269.5,-1.3415644,0.0,0.0
1764515502.6461482,414.0,269.5,-1.3415644,0.0,0.0
1764515502.6794822,414.0,269.5,-1.3415644,0.0,0.0
1764515502.7128162,414.0,269.5,-1.3415644,0.0,0.0
1764515502.7461498,414.0,269.5,-1.3415644,0.0,0.0
1764515502.7794838,414.0,269.5,-1.3415644,0.0,0.0
1764515502.8128178,414.0,269.5,-1.3415644,0.0,0.0
1764515502.8461518,414.0,269.5,-1.3415644,0.0,0.0
1764515502.8794858,414.0,269.5,-1.3415644,0.0,0.0
1764515502.9128199,414.0,269.5,-1.3415644,0.0,0.0
1764515502.9461539,414.0,269.5,-1.3415644,0.0,0.0
1764515502.979488,414.0,269.5,-1.3415644,0.0,0.0
1764515503.012822,414.0,269.5,-1.3415644,0.0,0.0
1764515503.046156,414.0,269.5,-1.3415644,0.0,0.0
1764515503.07949,414.0,269.5,-1.3415644,0.0,0.0
1764515503.112824,414.0,269.5,-1.3415644,0.0,0.0
1764515503.146158,414.0,269.5,-1.3415644,0.0,0.0
1764515503.179492,414.0,269.5,-1.3415644,0.0,0.0
1764515503.212826,414.0,269.5,-1.3415644,0.0,0.0
1764515503.2461598,414.0,269.5,-1.3415644,0.0,0.0
1764515503.2794938,414.0,269.5,-1.3415644,0.0,0.0
1764515503.3128278,414.0,269.5,-1.3415644,0.0,0.0
1764515503.3461618,414.0,269.5,-1.3415644,0.0,0.0
1764515503.3794959,414.0,269.5,-1.3415644,0.0,0.0
1764515503.4128299,414.0,269.5,-1.3415644,0.0,0.0
1764515503.446164,414.0,269.5,-1.3415644,0.0,0.0
1764515503.479498,414.0,269.5,-1.3415644,0.0,0.0
1764515503.512832,414.25,269.75,-1.3608228,0.0,0.0
1764515503.546166,414.25,269.75,-1.3608228,0.0,0.0
1764515503.5795,414.25,269.75,-1.3608228,0.0,0.0
1764515503.612834,414.25,269.75,-1.3608228,0.0,0.0
1764515503.646168,414.0,269.5,-1.3415644,0.0,0.0
1764515503.679502,414.0,269.5,-1.3415644,0.0,0.0
1764515503.712836,414.25,269.75,-1.3608228,0.0,0.0
1764515503.74617,414.25,269.75,-1.3608228,0.0,0.0
1764515503.779504,414.25,269.75,-1.3608228,0.0,0.0
1764515503.8128378,414.25,269.75,-1.3608228,0.0,0.0
1764515503.8461719,414.25,269.75,-1.3608228,0.0,0.0
1764515503.8795059,414.25,269.75,-1.3608228,0.0,0.0
1764515503.91284,414.25,269.75,-1.3608228,0.0,0.0
1764515503.946174,414.25,269.75,-1.3608228,0.0,0.0
1764515503.979508,414.25,269.75,-1.3608228,0.0,0.0
1764515504.012842,414.25,269.75,-1.3608228,0.0,0.0
1764515504.046176,414.25,269.75,-1.3608228,0.0,0.0
1764515504.07951,414.25,269.75,-1.3608228,0.0,0.0
1764515504.112844,414.25,269.75,-1.3608228,0.0,0.0
1764515504.146178,414.25,269.75,-1.3608228,0.0,0.0
1764515504.179512,414.25,269.75,-1.3608228,0.0,0.0
1764515504.212846,414.25,269.75,-1.3608228,0.0,0.0
1764515504.251125,414.25,269.75,-1.3608228,0.0,0.0
1764515504.284459,414.25,269.75,-1.3608228,0.0,0.0
1764515504.3177931,414.0,269.5,-1.3415644,0.0,0.0
1764515504.3511271,414.0,269.5,-1.3415644,0.0,0.0
1764515504.3844612,414.0,269.5,-1.3415644,0.0,0.0
1764515504.4177952,414.0,269.5,-1.3415644,0.0,0.0
1764515504.4511292,414.0,269.5,-1.3415644,0.0,0.0
1764515504.4844632,414.0,269.5,-1.3415644,0.0,0.0
1764515504.5177972,414.0,269.5,-1.3415644,0.0,0.0
1764515504.5511308,414.0,269.5,-1.3415644,0.0,0.0
1764515504.5844648,414.0,269.5,-1.3415644,0.0,0.0
1764515504.6177988,414.0,269.5,-1.3415644,0.0,0.0
1764515504.6511328,414.0,269.5,-1.3415644,0.0,0.0
1764515504.6844668,414.0,269.5,-1.3415644,0.0,0.0
1764515504.7178009,414.0,269.5,-1.3415644,0.0,0.0
1764515504.7511349,414.0,269.5,-1.3415644,0.0,0.0
1764515504.784469,414.0,269.5,-1.3415644,0.0,0.0
1764515504.8244522,414.25,269.75,-1.3608228,0.0,0.0
1764515504.8577862,414.0,269.5,-1.3415644,0.0,0.0
1764515504.892323,414.0,269.5,-1.3415644,0.0,0.0
1764515504.9267662,414.0,269.5,-1.3415644,0.0,0.0
1764515504.9601002,414.25,269.75,-1.3608228,0.0,0.0
1764515504.995696,414.0,269.5,-1.3415644,0.0,0.0
