timestamp,x_cam,y_cam,theta_cam,vL,vR
1764516110.4360871,629.0,255.5,-2.926235,33,29
1764516110.4694211,628.5,255.5,-2.926235,33,29
1764516110.5027552,627.75,255.5,-2.9294488,33,29
1764516110.5360892,627.25,255.0,-2.900237,33,29
1764516110.5694232,627.0,254.75,-2.9113731,33,29
1764516110.6027572,626.0,254.5,-2.926235,33,29
1764516110.636091,625.5,254.5,-2.926235,33,29
1764516110.669425,625.0,254.25,-2.9113731,33,29
1764516110.702759,624.5,254.25,-2.9113731,33,29
1764516110.736093,624.0,254.0,-2.896614,33,29
1764516110.769427,623.75,253.75,-2.9078496,33,29
1764516110.802761,623.0,253.75,-2.9113731,33,29
1764516110.836095,622.5,253.5,-2.926235,33,29
1764516110.8694289,622.0,253.25,-2.9113731,33,29
1764516110.902763,621.25,253.0,-2.8928826,33,29
1764516110.936097,621.0,253.0,-2.896614,33,29
1764516110.969431,620.0,252.75,-2.9113731,33,29
1764516111.002765,620.0,252.75,-2.9113731,33,29
1764516111.036101,619.0,252.25,-2.9113731,33,29
1764516111.069435,619.0,252.0,-2.896614,33,29
1764516111.102769,618.0,252.0,-2.896614,33,29
1764516111.136103,617.5,251.75,-2.881963,33,29
1764516111.169437,617.0,251.5,-2.896614,33,29
1764516111.202771,616.5,251.25,-2.881963,33,29
1764516111.236105,616.0,251.0,-2.896614,33,29
1764516111.269439,615.5,251.0,-2.896614,33,29
1764516111.302773,614.75,251.0,-2.8928826,33,29
1764516111.336107,614.5,250.75,-2.881963,33,29
1764516111.369441,613.75,250.25,-2.8780289,33,29
1764516111.402775,613.25,250.0,-2.8928826,33,29
1764516111.436109,612.75,250.0,-2.8928826,33,29
1764516111.469443,612.25,249.75,-2.8780289,33,29
1764516111.502777,611.75,249.25,-2.8780289,33,29
1764516111.536111,611.5,249.25,-2.881963,33,29
1764516111.5694451,610.5,249.25,-2.881963,33,29
1764516111.602779,610.0,248.75,-2.8739765,33,29
1764516111.636113,609.5,248.75,-2.881963,33,29
1764516111.669447,609.0,248.25,-2.8739765,33,29
